coefficient,units,symbol,equivalent,equation
Dimensionless parameter (0.14-0.25),,&#946;,0.2,airflow
Boiling Temp of water in degrees,Degrees Celsius (&#8451;),T<sub>b</sub>,100,airflow
Freezing Temp water in degrees,Degrees Celsius (&#8451;),T<sub>c</sub>,0,airflow
Intensity of radiation,Watts per square meter (W/m&sup2;),I<sub>t</sub>,555,airflow
Solar constant ,,I<sub>o</sub>,1367,airflow
Partial pressure of dry air in atmosphere,Pascal (P<sub>a</sub>),P<sub>a</sub>,101800,air volume
Specific heat capacity of air at constant pressure,Joules per kg (J/KgK),C<sub>pa</sub>,1006,air volume
Specifc gass constant ,J/KgK,R<sub>a</sub>,286.9,vaporization
Gass constant of water vapor ,,R<sub>g</sub>,461.5,vaporization
Boiling point of water in Kelvins ,Kelvins (K),T<sub>b2</sub>,373,vaporization
Critical pressure of water ,Pascal (P<sub>a</sub>),P<sub>c</sub>,22060000,vaporization
Critical Temp of water in Kelvins,Kelvins (K),T<sub>c</sub>,650,vaporization
Total drying time (24 hours),Seconds (s),t,86400,flow rate
Density of air ,Kilograms per cubic meter (Kg/m&sup3;),&rho;,1.2,flow rate
Efficiency,,&eta;,0.125,collector area
It intensity of radiation on tilted surface ,Watts per square meter (W/m&sup2;),I<sub>t</sub>,555,collector area
Total time,Seconds (s),t,86400,collector area
Width of chimney ,Meters (m),w,0.265,chimney
Depth of chimney,Meters (m),s,0.3,chimney
Recommended drying thickness,Meters (m),m,0.02,drying bed
