name,final_moisture,bulk_density,initial_moisture
Apples,24,513,80
Apricot,18,400,85
Bananas,15,1000,80
Beans,10,750,22
Brinjal,6,750,95
Carrot,5,1000,70
Cassava,16,500,65
Cauliflower,6,270,80
Chicken Peas,10,750,22
Chilies,5,450,80
Coffee,12,365,60
Cow Peas,10,400,22
Garlic,4,500,80
Grapes,20,2000,80
Green Grams,5,430,70
Green Peas,5,1150,80
Guavas,7,250,80
Lentils,10,850,22
Maize,16,550,35
Millet,16,780,36
Onion,5,550,80
Pineapple,10,700,80
Potato,7,675,75
Rice,11,800,24
Sorghum,18,780,36
Sweet Potato,7,675,75
Tea,2,125,69
Tomato,10,1000,96
Wheat,16,750,20
